time,id,pos,in_network
732,9,"[33.81174789071342, 58.282945425582085]",true
732,10,"[34.25504667260994, 45.306013301185324]",true
733,1,"[52.54175426048164, 44.10181986314696]",true
733,4,"[73.34220127182186, 34.83679605853746]",true
733,5,"[68.435379510689, 53.54083729789277]",true
733,6,"[49.99351875682191, 54.61580573194366]",true
733,7,"[44.38651749672433, 54.01506857198321]",true
733,9,"[33.72650654888136, 58.335201667361034]",true
733,10,"[34.17482976941276, 45.32809632424815]",true
734,1,"[52.57330505784698, 44.13742655920098]",true
734,4,"[73.36840360526183, 34.78840156954028]",true
734,5,"[68.49259091079163, 53.54509087712738]",true
734,6,"[49.99522047760236, 54.61667474840041]",true
734,7,"[44.440319412004, 54.0993477862767]",true
734,9,"[33.641265207049294, 58.38745790913998]",true
734,10,"[34.09461286621557, 45.350179347310984]",true
735,1,"[52.60485585521232, 44.173033255255]",true
735,4,"[73.37792619397253, 34.74474650586048]",true
735,5,"[68.54980231089426, 53.54934445636199]",true
735,6,"[49.996922198382805, 54.61754376485717]",true
735,7,"[44.49412132728367, 54.183627000570205]",true
735,9,"[33.55602386521721, 58.43971415091894]",true
735,10,"[34.01439596301837, 45.37226237037382]",true
736,1,"[52.63640665257766, 44.20863995130902]",true
736,4,"[73.38744878268322, 34.7010914421807]",true
736,5,"[68.60701371099688, 53.55359803559661]",true
736,6,"[49.99862391916325, 54.61841278131393]",true
736,7,"[44.547923242563336, 54.2679062148637]",true
736,9,"[33.47078252338515, 58.491970392697894]",true
736,10,"[33.93417905982118, 45.394345393436645]",true
737,1,"[52.667957449943, 44.24424664736304]",true
737,4,"[73.39697137139392, 34.657436378500904]",true
737,5,"[68.66422511109953, 53.557851614831215]",true
737,6,"[50.000325639943696, 54.61928179777068]",true
737,7,"[44.601725157843006, 54.35218542915721]",true
737,9,"[33.385541181553066, 58.54422663447685]",true
737,10,"[33.853962156623986, 45.41642841649948]",true
738,1,"[52.699508247308344, 44.27985334341706]",true
738,4,"[73.4064939601046, 34.61378131482111]",true
738,5,"[68.72143651120214, 53.56210519406583]",true
738,6,"[50.00202736072415, 54.62015081422744]",true
738,7,"[44.65552707312268, 54.436464643450705]",true
738,9,"[33.300299839721, 58.5964828762558]",true
738,10,"[33.7737452534268, 45.438511439562305]",true
739,1,"[52.731059044673685, 44.31546003947108]",true
739,4,"[73.41601654881529, 34.570126251141325]",true
739,5,"[68.77864791130477, 53.56635877330044]",true
739,6,"[50.003729081504595, 54.6210198306842]",true
739,7,"[44.70932898840234, 54.5207438577442]",true
739,9,"[33.21505849788893, 58.64873911803475]",true
739,10,"[33.69352835022961, 45.46059446262513]",true
740,1,"[52.762609842039026, 44.3510667355251]",true
740,4,"[73.42553913752599, 34.52647118746153]",true
740,5,"[68.8358593114074, 53.57061235253506]",true
740,6,"[50.00543080228504, 54.62188884714096]",true
740,7,"[44.76313090368201, 54.60502307203771]",true
740,9,"[33.12981715605686, 58.7009953598137]",true
740,10,"[33.613311447032416, 45.482677485687965]",true
741,1,"[52.79416063940437, 44.38667343157912]",true
741,4,"[73.43506172623668, 34.482816123781745]",true
741,5,"[68.89307071151002, 53.574865931769665]",true
741,6,"[50.007132523065486, 54.62275786359771]",true
741,7,"[44.816932818961675, 54.6893022863312]",true
741,9,"[33.04457581422479, 58.75325160159265]",true
741,10,"[33.533094543835226, 45.50476050875079]",true
742,1,"[52.825711436769716, 44.422280127633144]",true
742,4,"[73.44458431494738, 34.43916106010195]",true
742,5,"[68.95028211161265, 53.57911951100428]",true
742,6,"[50.00883424384593, 54.62362688005447]",true
742,7,"[44.87073473424135, 54.77358150062471]",true
742,9,"[32.95933447239271, 58.80550784337161]",true
742,10,"[33.45287764063803, 45.526843531813626]",true
743,1,"[52.85726223413505, 44.45788682368716]",true
743,4,"[73.45410690365807, 34.395505996422166]",true
743,5,"[69.00749351171528, 53.583373090238894]",true
743,6,"[50.010535964626385, 54.62449589651123]",true
743,7,"[44.924536649521016, 54.8578607149182]",true
743,9,"[32.874093130560645, 58.857764085150556]",true
743,10,"[33.37266073744084, 45.54892655487645]",true
744,1,"[52.88881303150039, 44.49349351974118]",true
744,4,"[73.46362949236877, 34.35185093274238]",true
744,5,"[69.06470491181791, 53.5876266694735]",true
744,6,"[50.01223768540683, 54.62536491296798]",true
744,7,"[44.97833856480068, 54.9421399292117]",true
744,9,"[32.78885178872858, 58.91002032692951]",true
744,10,"[33.292443834243656, 45.571009577939286]",true
745,1,"[52.92036382886574, 44.5291002157952]",true
745,4,"[73.47315208107946, 34.30819586906258]",true
745,5,"[69.12191631192054, 53.591880248708115]",true
745,6,"[50.013939406187276, 54.62623392942474]",true
745,7,"[45.03214048008036, 55.02641914350521]",true
745,9,"[32.7036104468965, 58.96227656870847]",true
745,10,"[33.21222693104646, 45.59309260100211]",true
746,1,"[52.95191462623107, 44.56470691184922]",true
746,4,"[73.48267466979014, 34.264540805382794]",true
746,5,"[69.17912771202316, 53.59613382794273]",true
746,6,"[50.01564112696772, 54.6271029458815]",true
746,7,"[45.08594239536002, 55.110698357798704]",true
746,9,"[32.61836910506443, 59.01453281048742]",true
746,10,"[33.13201002784927, 45.615175624064946]",true
747,1,"[52.98346542359642, 44.60031360790324]",true
747,4,"[73.49219725850084, 34.220885741703]",true
747,5,"[69.23633911212579, 53.60038740717734]",true
747,6,"[50.01734284774817, 54.62797196233826]",true
747,7,"[45.08594239536002, 55.110698357798704]",true
747,9,"[32.53312776323236, 59.06678905226637]",true
747,10,"[33.05179312465207, 45.63725864712777]",true
748,1,"[53.01501622096176, 44.635920303957256]",true
748,4,"[73.50171984721153, 34.177230678023214]",true
748,5,"[69.29355051222842, 53.60464098641195]",true
748,6,"[50.019044568528614, 54.62884097879501]",true
748,7,"[45.16119152313202, 55.17652244169566]",true
748,9,"[32.44788642140029, 59.11904529404532]",true
748,10,"[32.97157622145488, 45.65934167019061]",true
749,1,"[53.046567018327096, 44.671527000011274]",true
749,5,"[69.35076191233105, 53.608894565646565]",true
749,6,"[50.020746289309066, 54.62970999525177]",true
749,7,"[45.236440650904015, 55.24234652559261]",true
749,9,"[32.362645079568225, 59.17130153582427]",true
749,10,"[32.8913593182577, 45.68142469325343]",true
750,1,"[53.078117815692444, 44.7071336960653]",true
750,5,"[69.40797331243368, 53.61314814488118]",true
750,6,"[50.02244801008951, 54.63057901170853]",true
750,7,"[45.31168977867602, 55.30817060948957]",true
750,9,"[32.277403737736144, 59.223557777603226]",true
750,10,"[32.8111424150605, 45.70350771631627]",true
751,1,"[53.109668613057785, 44.742740392119316]",true
751,5,"[69.4651847125363, 53.61740172411579]",true
751,6,"[50.02414973086996, 54.63144802816528]",true
751,7,"[45.386938906448016, 55.37399469338653]",true
751,9,"[32.19216239590408, 59.275814019382175]",true
751,10,"[32.73092551186331, 45.72559073937909]",true
752,1,"[53.141219410423126, 44.77834708817334]",true
752,5,"[69.52239611263893, 53.6216553033504]",true
752,6,"[50.025851451650404, 54.63231704462204]",true
752,7,"[45.46218803422003, 55.43981877728349]",true
752,9,"[32.106921054072004, 59.32807026116114]",true
752,10,"[32.650708608666115, 45.74767376244193]",true
753,1,"[53.17277020778847, 44.81395378422736]",true
753,5,"[69.57960751274156, 53.625908882585016]",true
753,6,"[50.02755317243085, 54.633186061078796]",true
753,7,"[45.537437161992024, 55.50564286118044]",true
753,9,"[32.02167971223994, 59.380326502940086]",true
753,10,"[32.570491705468925, 45.769756785504754]",true
754,1,"[53.20432100515381, 44.849560480281376]",true
754,5,"[69.63681891284418, 53.63016246181962]",true
754,6,"[50.0292548932113, 54.63405507753556]",true
754,7,"[45.61268628976402, 55.5714669450774]",true
754,9,"[31.93643837040787, 59.432582744719035]",true
754,10,"[32.49027480227174, 45.79183980856759]",true
755,1,"[53.23587180251915, 44.8851671763354]",true
755,5,"[69.69403031294682, 53.63441604105424]",true
755,6,"[50.03095661399175, 54.63492409399231]",true
755,7,"[45.687935417536025, 55.63729102897436]",true
755,9,"[31.85119702857579, 59.48483898649799]",true
755,10,"[32.41005789907454, 45.813922831630414]",true
756,1,"[53.26742259988449, 44.92077387238942]",true
756,5,"[69.75124171304944, 53.63866962028885]",true
756,6,"[50.032658334772194, 54.63579311044907]",true
756,7,"[45.76318454530802, 55.703115112871316]",true
